City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hong Kong,3,HK,1660408820,84,22.2855,114.1577,29.07,2.68
Bandarbeyla,90,SO,1660408862,78,9.4942,50.8122,25.31,14.95
Osorno,100,CL,1660408583,87,-40.5667,-73.15,11.17,7.2
Cabo San Lucas,20,MX,1660408862,66,22.8909,-109.9124,32.56,3.6
Chu,0,KZ,1660408862,31,43.5983,73.7614,24.8,4.38
Kaitangata,9,NZ,1660408862,91,-46.2817,169.8464,3.09,3.84
Zastron,100,ZA,1660408862,39,-30.3023,27.084,11.98,5.75
East London,40,ZA,1660408862,100,-33.0153,27.9116,12.52,1.03
Hanover,0,DE,1660408800,46,52.3705,9.7332,29.91,5.14
Chulumani,50,BO,1660408863,29,-16.4096,-67.5263,28.28,2.42
Baft,0,IR,1660408863,15,29.234,56.6057,23.75,4.71
Roebourne,4,AU,1660408863,73,-20.7833,117.1333,20.91,1.31
Bethel,100,US,1660408863,50,41.3712,-73.414,24.72,5.66
Sobolevo,71,RU,1660408863,78,54.4299,31.8996,19.78,3.67
Río Gallegos,0,AR,1660408863,65,-51.6226,-69.2181,3.03,8.75
Kutum,83,SD,1660408863,49,14.2,24.6667,27.78,3.4
Xalpatlahuac,91,MX,1660408863,74,17.4667,-98.6167,21.54,0.64
Lebu,87,CL,1660408864,92,-37.6167,-73.65,11.59,11.06
Arraial do Cabo,0,BR,1660408864,53,-22.9661,-42.0278,23.98,10.29
Phan Thiet,8,VN,1660408864,85,10.9333,108.1,25.52,2.61
Mar del Plata,0,AR,1660408722,63,-38.0023,-57.5575,20.01,4.02
Havøysund,100,NO,1660408864,88,70.9963,24.6622,10.13,5.67
Yuanping,100,CN,1660408864,97,38.7153,112.7575,22.23,0.82
Polunochnoye,10,RU,1660408864,67,60.8697,60.4153,11.55,4.08
Vanimo,100,PG,1660408864,91,-2.6741,141.3028,24.03,0.3
Atikokan,2,CA,1660408864,42,48.7555,-91.6216,25.41,1.67
Pauini,4,BR,1660408865,29,-7.7136,-66.9764,36.77,0.98
Benguela,32,AO,1660408865,78,-12.5763,13.4055,21.13,3.35
Vila Velha,20,BR,1660408865,61,-20.3297,-40.2925,24.97,5.14
Sydney,0,AU,1660408146,73,-33.8679,151.2073,11.61,6.17
Agadez,12,NE,1660408865,12,19.75,10.25,38.88,3.27
Bunbury,85,AU,1660408865,72,-33.3333,115.6333,12.48,3.27
Tiksi,64,RU,1660408865,91,71.6872,128.8694,3.71,5.8
Katsuura,99,JP,1660408865,85,35.1333,140.3,27.0,11.35
Upernavik,100,GL,1660408865,64,72.7868,-56.1549,8.25,1.26
Hīt,0,IQ,1660408865,17,33.6416,42.8251,36.36,5.63
Turka,97,UA,1660408865,91,49.1541,23.0297,18.78,1.33
Sitka,100,US,1660408866,82,57.0531,-135.33,15.94,0.0
Puerto Ayora,100,EC,1660408866,99,-0.7393,-90.3518,23.98,3.58
Bantou,22,CN,1660408866,75,26.2151,117.4893,26.3,0.71
Cairns,7,AU,1660408866,93,-16.9167,145.7667,19.48,3.09
Svetlaya,73,RU,1660408866,89,46.5389,138.3297,16.69,2.28
Envira,7,BR,1660408866,32,-7.3,-70.2167,35.33,0.21
Lagoa,2,PT,1660408866,82,39.05,-27.9833,24.18,5.24
Carnarvon,29,AU,1660408866,71,-24.8667,113.6333,19.19,3.99
Devils Lake,20,US,1660408866,73,48.1128,-98.8651,23.06,2.57
Jamestown,75,US,1660408866,37,42.097,-79.2353,24.41,3.09
Mackay,69,AU,1660408867,85,-21.15,149.2,15.93,2.81
Saint-Pierre,40,RE,1660408867,70,-21.3393,55.4781,20.82,6.17
Lingao,100,CN,1660408867,87,19.9103,109.6859,26.73,2.75
Ghanzi,36,BW,1660408851,10,-21.5667,21.7833,22.88,4.85
Hasaki,100,JP,1660408867,89,35.7333,140.8333,24.22,9.07
Vostok,78,RU,1660408867,86,46.4856,135.8833,13.06,1.52
São Filipe,91,CV,1660408867,74,14.8961,-24.4956,25.39,4.25
Arvin,0,US,1660408867,20,35.2091,-118.8284,36.14,2.07
Corinth,56,GR,1660408575,45,37.9407,22.9573,28.27,1.16
Qaanaaq,100,GL,1660408867,75,77.484,-69.3632,5.42,5.59
Şabyā,100,SA,1660408842,63,17.1495,42.6254,32.79,4.96
Port Hedland,4,AU,1660408867,77,-20.3167,118.5667,19.03,2.57
Adamantas,0,GR,1660408868,68,36.7333,24.4333,25.36,3.14
Warri,100,NG,1660408722,83,5.5167,5.75,25.19,4.35
Praia da Vitória,20,PT,1660408868,74,38.7333,-27.0667,28.14,4.9
Watrous,17,CA,1660408868,64,51.6668,-105.4679,22.88,3.09
Yangi Marg`ilon,0,UZ,1660408868,39,40.4272,71.7189,28.4,2.06
Castro,33,BR,1660408354,41,-24.7911,-50.0119,21.32,3.14
Sinjār,0,IQ,1660408868,20,36.3209,41.8754,36.03,5.88
Paidha,100,UG,1660408868,89,2.4167,30.9855,16.92,1.68
Tiarei,18,PF,1660408868,78,-17.5333,-149.3333,22.01,6.41
Dumanjug,83,PH,1660408868,83,10.0576,123.4356,26.78,1.55
Tabuk,100,PH,1660408743,90,17.4189,121.4443,24.05,1.35
Otradnoye,96,RU,1660408618,75,59.7775,30.8181,22.03,2.77
Kondol',99,RU,1660408868,44,52.8189,45.058,22.7,3.56
Jalu,5,LY,1660408868,25,29.0331,21.5482,34.33,8.74
Codrington,35,AU,1660408869,86,-38.2667,141.9667,8.73,2.38
Sembakung,34,ID,1660408869,98,3.8167,117.25,23.34,0.38
Tynda,100,RU,1660408869,96,55.1667,124.7167,10.89,0.53
Khani,0,GE,1660408869,73,41.9563,42.9566,20.76,1.4
Macaé,20,BR,1660408869,44,-22.3708,-41.7869,26.86,5.66
Benghazi,0,LY,1660408791,63,32.1167,20.0667,27.94,6.52
Quiindy,100,PY,1660408869,35,-25.9667,-57.2667,27.39,3.36
Chapais,19,CA,1660408869,35,49.7834,-74.8492,17.88,0.96
Fortuna,100,US,1660408869,84,40.5982,-124.1573,18.85,3.6
Provideniya,100,RU,1660408869,85,64.3833,-173.3,6.64,2.51
Bengkulu,100,ID,1660408869,90,-3.8004,102.2655,24.45,1.67
Tual,41,ID,1660408869,82,-5.6667,132.75,26.46,8.09
Saint George,75,US,1660408870,62,37.1041,-113.5841,26.64,0.89
Lüderitz,97,NA,1660408870,79,-26.6481,15.1594,13.27,5.12
Kralendijk,75,BQ,1660408870,62,12.15,-68.2667,31.99,8.23
Uruguaiana,0,BR,1660408870,68,-29.7547,-57.0883,21.96,1.54
Husavik,97,IS,1660408870,80,66.0449,-17.3389,9.31,4.01
Yumbe,100,UG,1660408870,96,3.4651,31.2469,19.15,1.76
Riverton,40,US,1660408870,49,40.5219,-111.9391,28.43,3.6
Port Lincoln,3,AU,1660408870,86,-34.7333,135.8667,10.93,3.48
Caronport,12,CA,1660408870,38,50.4501,-105.8179,25.1,3.51
Taoudenni,23,ML,1660408871,13,22.6783,-3.9836,44.31,2.62
Asău,87,RO,1660408871,82,46.4333,26.4,26.51,1.64
Semporna,88,MY,1660408871,79,4.4818,118.6112,26.67,1.0
Takoradze,48,GH,1660408871,70,4.8845,-1.7554,26.33,6.67
San Cristobal,81,VE,1660408871,54,7.7669,-72.225,28.1,2.66
Kavieng,100,PG,1660408871,76,-2.5744,150.7967,27.1,4.19
Cayenne,20,GF,1660408812,24,4.9333,-52.3333,32.02,4.12
Tuktoyaktuk,75,CA,1660408871,82,69.4541,-133.0374,14.0,4.12
Pāsighāt,15,IN,1660408871,79,28.0667,95.3333,26.98,1.05
Ancud,100,CL,1660408871,78,-41.8697,-73.8203,8.94,10.56
Nesna,6,NO,1660408872,81,66.1967,13.0213,15.29,5.49
Volokolamsk,100,RU,1660408872,65,56.0336,35.9694,20.04,1.27
Maceió,75,BR,1660408872,61,-9.6658,-35.7353,28.69,8.23
Bathsheba,75,BB,1660408872,89,13.2167,-59.5167,27.34,4.63
Ugoofaaru,70,MV,1660408872,76,5.6667,73.0,27.84,3.1
Kalevala,40,RU,1660408706,55,65.2,31.1667,16.1,1.46
Kangaatsiaq,98,GL,1660408873,74,68.3065,-53.4641,6.71,3.23
Severo-Kuril'sk,100,RU,1660408873,96,50.6789,156.125,12.93,3.45
Aswān,0,EG,1660408873,15,24.0934,32.907,39.61,6.17
Lorengau,88,PG,1660408874,79,-2.0226,147.2712,26.52,1.42
Bambous Virieux,40,MU,1660408874,83,-20.3428,57.7575,20.14,6.69
Pakxan,95,LA,1660408874,96,18.3778,103.6601,23.86,1.11
Boulsa,88,BF,1660408874,51,12.6675,-0.5758,32.46,3.15
Faya,99,SA,1660408874,70,18.3851,42.4509,23.06,0.87
Lata,0,PT,1660408874,41,40.1629,-8.3327,22.67,4.87
Fécamp,4,FR,1660408640,36,49.7579,0.3746,33.84,8.3
Goundam,2,ML,1660408874,29,16.4145,-3.6708,37.24,3.45
Hokitika,22,NZ,1660408874,81,-42.7167,170.9667,5.4,2.79
Brigantine,0,US,1660408874,52,39.4101,-74.3646,28.35,2.06
Iqaluit,75,CA,1660408875,81,63.7506,-68.5145,9.83,3.6
Tabou,75,CI,1660408875,73,4.423,-7.3528,25.6,5.47
Tuatapere,5,NZ,1660408875,90,-46.1333,167.6833,2.15,1.74
Petropavlovsk-Kamchatskiy,100,RU,1660408875,100,53.0452,158.6483,13.33,2.0
Broken Hill,30,AU,1660408875,91,-31.95,141.4333,6.49,5.37
Salinas,0,US,1660408875,73,36.6777,-121.6555,19.45,2.06
The Valley,20,AI,1660408875,62,18.217,-63.0578,31.08,5.14
Padang,97,ID,1660408867,88,-0.9492,100.3543,25.69,1.22
Andenes,75,NO,1660408875,82,69.3143,16.1194,13.29,6.69
Marieville,1,CA,1660408875,55,45.4334,-73.1658,24.51,1.51
Kruisfontein,60,ZA,1660408875,88,-34.0033,24.7314,9.94,1.59
Birao,77,CF,1660408875,88,10.2849,22.7882,23.68,1.72
Manokwari,99,ID,1660408875,79,-0.8667,134.0833,25.63,1.63
Mbekenyera,51,TZ,1660408876,73,-10.0,38.9833,21.1,4.64
Namatanai,67,PG,1660408876,80,-3.6667,152.4333,25.35,2.58
Idritsa,6,RU,1660408876,67,56.3316,28.8988,21.43,1.99
Naze,96,JP,1660408876,81,28.3667,129.4833,28.51,3.22
Airai,8,TL,1660408876,83,-8.9266,125.4092,13.4,1.59
Caravelas,100,BR,1660408876,53,-17.7125,-39.2481,24.22,5.02
Karaidel',15,RU,1660408876,74,55.8337,56.9069,14.03,2.03
Saint Paul Harbor,100,US,1660408876,94,57.79,-152.4072,11.73,3.6
General Roca,34,AR,1660408876,32,-39.0333,-67.5833,18.68,8.62
Tahe,67,CN,1660408876,95,52.3333,124.7333,11.51,1.28
Bandrele,0,YT,1660408876,73,-12.9067,45.1914,24.86,2.06
Leningradskiy,52,RU,1660408858,93,69.3833,178.4167,-0.33,1.91
Kavaratti,98,IN,1660408877,81,10.5669,72.642,27.31,4.41
Udachny,100,RU,1660408877,81,66.4167,112.4,10.25,3.94
Tura,96,IN,1660408877,95,25.5198,90.2201,24.1,3.18
Arroyo de la Encomienda,0,ES,1660408877,27,41.6096,-4.7969,32.02,10.29
Vilhena,0,BR,1660408877,33,-12.7406,-60.1458,31.12,5.14
Sungai Raya,100,ID,1660408877,91,0.7,108.9,25.01,3.39
Mīzan Teferī,100,ET,1660408877,98,6.9833,35.5833,16.16,0.3
Stokmarknes,100,NO,1660408878,76,68.5646,14.9108,11.99,7.2
Pinheiro Machado,92,BR,1660408878,74,-31.5783,-53.3811,18.36,2.72
Grindavik,75,IS,1660408878,76,63.8424,-22.4338,11.97,6.17
Carutapera,60,BR,1660408878,65,-1.195,-46.02,29.06,5.05
Donskoye,0,RU,1660408878,22,45.4552,41.9741,32.07,10.22
Zyryanka,56,RU,1660408878,58,65.75,150.85,10.43,6.11
Vao,100,NC,1660408878,69,-22.6667,167.4833,21.48,8.95
Bonnyville,45,CA,1660408878,57,54.2668,-110.735,20.62,4.02
Richards Bay,80,ZA,1660408878,78,-28.783,32.0377,19.6,2.33
Tegul'det,89,RU,1660408878,69,57.3064,88.1667,14.37,2.25
Dabakala,100,CI,1660408879,97,8.3667,-4.4333,22.24,1.68
Panabá,58,MX,1660408879,49,21.2833,-88.2667,32.72,2.36
Aktau,3,KZ,1660408879,37,43.65,51.2,30.32,3.83
Davila,100,PH,1660408879,79,18.4726,120.5763,27.76,1.83
Anadyr,75,RU,1660408879,86,64.75,177.4833,6.28,2.0
City of San Pedro,40,PH,1660408879,91,14.35,121.0167,25.57,1.54
Yumen,98,CN,1660408879,30,40.2833,97.2,27.45,3.79
Nsoko,33,SZ,1660408879,74,-27.0333,31.95,19.98,2.12
Guadalupe y Calvo,60,MX,1660408879,53,26.1,-106.9667,21.48,1.57
Ashtabula,0,US,1660408880,46,41.7001,-80.7665,24.98,0.0
Norman Wells,20,CA,1660408880,55,65.282,-126.8329,17.02,3.09
Kiruna,67,SE,1660408880,44,67.8557,20.2251,14.51,4.63
Edd,81,ER,1660408880,71,13.9297,41.6925,32.32,3.61
Kahului,20,US,1660408880,73,20.8947,-156.47,25.47,2.68
Quzhou,67,CN,1660408880,76,28.9594,118.8686,27.37,0.97
Esperance,74,AU,1660408818,82,-33.8667,121.9,14.36,10.29
Nizhniy Kuranakh,100,RU,1660408880,96,58.8353,125.4869,13.03,0.74
Chabahar,100,IR,1660408881,82,25.2919,60.643,29.0,1.72
Kalmar,3,SE,1660408394,50,56.6616,16.3616,23.96,5.66
Ahipara,74,NZ,1660408881,85,-35.1667,173.1667,10.0,0.92
Maudaha,34,IN,1660408881,78,25.6833,80.1167,28.88,2.95
Mount Isa,0,AU,1660408881,35,-20.7333,139.5,10.87,0.0
Ojinaga,0,MX,1660408881,45,29.5667,-104.4167,34.76,2.06
Korla,70,CN,1660408881,35,41.7597,86.1469,27.83,2.16
Sidi Ali,9,DZ,1660408881,31,36.0998,0.4206,35.55,5.12
Biltine,97,TD,1660408881,58,14.5333,20.9167,29.75,4.75
Bukachacha,37,RU,1660408882,83,52.9833,116.9167,12.42,0.27
Chekmagush,81,RU,1660408882,64,55.1319,54.6556,17.97,3.27
Karratha,7,AU,1660408882,74,-20.7377,116.8463,21.24,1.37
Ostrovnoy,58,RU,1660408882,85,68.0531,39.5131,9.91,2.99
Panubigan,92,PH,1660408882,80,7.4281,123.3466,26.63,1.8
Erenhot,89,CN,1660408882,40,43.6475,111.9767,25.13,5.57
Nādāpuram,100,IN,1660408882,83,11.7,75.6667,24.92,1.21
Atyashevo,14,RU,1660408882,70,54.5644,46.0691,19.24,2.57
Gunjur,75,GM,1660408882,79,13.2019,-16.7339,29.04,8.23
Tezu,22,IN,1660408882,88,27.9167,96.1667,25.52,1.89
Nehe,1,CN,1660408882,87,48.4833,124.8333,15.04,0.28
Dourbali,96,TD,1660408883,84,11.8091,15.8632,24.01,4.04
Esim,41,GH,1660408883,77,4.8699,-2.2405,25.4,6.19
Chkalovskoye,73,RU,1660408883,97,44.8392,133.0436,15.87,2.11
Orán,6,AR,1660408883,19,-23.1322,-64.326,29.68,1.77
East Wenatchee Bench,0,US,1660408883,42,47.4257,-120.2812,23.87,9.77
Boende,100,CD,1660408883,49,-0.2167,20.8667,28.45,0.48
Bulgan,100,MN,1660408883,95,48.8125,103.5347,12.16,1.37
Hualmay,53,PE,1660408883,70,-11.0964,-77.6139,19.17,3.92
Amoy,0,CN,1660408883,79,24.4798,118.0819,29.03,2.0
Ust-Kuyga,100,RU,1660408883,92,70.0167,135.6,4.92,3.25
Tabas,0,IR,1660408849,13,33.5959,56.9244,32.45,7.07
Mortka,48,RU,1660408883,69,59.3322,66.0214,12.84,5.68
Vila Franca do Campo,40,PT,1660408883,75,37.7167,-25.4333,25.23,3.26
Bella Union,0,UY,1660408884,62,-30.2752,-57.6007,22.88,2.57
Saint-Leu,91,RE,1660408884,75,-21.15,55.2833,20.48,1.5
Vila,13,PT,1660408884,54,42.0304,-8.1588,21.5,4.09
Ayan,100,RU,1660408884,95,56.45,138.1667,12.91,1.81
Sistranda,100,NO,1660408884,73,63.7256,8.834,13.98,2.53
Nikel,100,RU,1660408884,67,69.4128,30.222,14.1,3.36
Santa Rosa,86,PH,1660408884,92,14.3122,121.1114,25.99,0.24
Guerrero Negro,3,MX,1660408884,56,27.9769,-114.0611,27.79,2.41
Vardø,100,NO,1660408884,76,70.3705,31.1107,10.99,3.09
Sakakah,0,SA,1660408885,17,29.9697,40.2064,39.76,5.57
Lázaro Cárdenas,93,MX,1660408885,66,17.9583,-102.2,29.5,1.71
Salinópolis,45,BR,1660408885,66,-0.6136,-47.3561,28.88,6.98
Belmonte,69,BR,1660408674,77,-15.8631,-38.8828,23.11,7.01
Henties Bay,1,NA,1660408885,85,-22.116,14.2845,13.44,6.92
Midyat,0,TR,1660408885,17,37.4247,41.3393,32.85,3.17
Clyde River,100,CA,1660408885,100,70.4692,-68.5914,4.13,7.72
Okha,80,RU,1660408885,94,53.5739,142.9478,12.5,1.89
Derzhavīnsk,1,KZ,1660408885,40,51.1,66.3167,22.15,3.35
Haines Junction,98,CA,1660408885,82,60.7522,-137.5108,12.97,0.51
Cotonou,20,BJ,1660408714,83,6.3654,2.4183,25.99,7.2
Walvis Bay,0,NA,1660408886,67,-22.9575,14.5053,17.53,8.23
Acapulco de Juárez,75,MX,1660408887,70,16.8634,-99.8901,29.9,1.54
Gloversville,75,US,1660408745,54,43.0528,-74.3438,23.32,2.06
Catuday,97,PH,1660408887,79,16.2923,119.8062,27.54,4.36
Buchanan,96,LR,1660408887,75,5.8808,-10.0467,25.6,4.65
Saldanha,57,ZA,1660408887,86,-33.0117,17.9442,13.03,8.2
Raja,97,SS,1660408887,93,8.4596,25.678,22.28,0.58
Amahai,99,ID,1660408887,88,-3.3333,128.9167,25.12,2.23
Klaksvík,85,FO,1660408887,86,62.2266,-6.589,12.51,4.4
Pekan,42,MY,1660408887,86,3.4836,103.3996,27.06,1.66
Isangel,83,VU,1660408887,72,-19.55,169.2667,22.48,7.66
Mabaruma,99,GY,1660408888,51,8.2,-59.7833,32.83,2.08
Poum,99,NC,1660408888,73,-20.2333,164.0167,23.08,9.25
Rawson,100,AR,1660408888,42,-43.3002,-65.1023,15.18,13.42
Lermontovka,48,RU,1660408888,95,47.1453,134.3383,15.01,1.19
Ribas do Rio Pardo,0,BR,1660408888,18,-20.4431,-53.7592,30.59,2.78
Gravdal,100,NO,1660408888,90,68.1214,13.5031,11.2,11.79
Ixtapa,75,MX,1660408888,78,20.7,-105.2,30.68,1.54
Nuuk,20,GL,1660408888,62,64.1835,-51.7216,13.34,2.57
Manassas,0,US,1660408888,40,38.751,-77.4753,27.72,3.6
Sinnamary,33,GF,1660408889,62,5.3833,-52.95,30.19,7.03
Najrān,100,SA,1660408889,21,17.4924,44.1277,35.36,3.26
